"Nome società";"Nome del brand di consulenza ESG";"Sede 1";"Sede 2";"Sede 3";"Sito web";"Email";"Telefono";"Anno fondazione";"Anno di inizio dell'attività di consulenza Esg";"Fascia fatturato complessivo della società in Italia";"Fatturato derivante da attività di consulenza e servizi Esg svolti in Italia";"Cliente 1";"Cliente 2";"Cliente 3";"Cliente 4";"Cliente 5";"Progetto Esg particolarmente significativo portato a termine da un vostro cliente nel 2024";"Indicare le particolarità della società/brand nella consulenza Esg";"Fascia numero complessivo dipendenti, e collaboratori se presenti, nella/e sede/i della società in Italia";"Fascia numero dipendenti, e collaboratori se presenti, nella/e sede/i della società in Italia che svolgono attività in ambito Esg";"Purpose";"La società rendiconta le informazioni sui fattori ESG?";"Servizio 1";"Servizio 2";"Servizio 3";"Servizio 4";"Servizio 5";"Servizio 6";"Servizio 7";"Servizio 8";"Servizio 9";"Servizio 10";"Servizio 11";"Servizio 12";"Servizio 13";"Servizio 14";"Servizio 15";"Servizio 16";"Servizio 17";"Servizio 18";"Servizio 19";"Servizio 20";"Servizio 21";"Servizio 22";"Servizio 23";"Servizio 24";"Servizio 25";"Servizio 26";"Servizio 27";"Servizio 28"
"Pippo22";"Topolino 22";"Via, Milano 22";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123477";1993;2001;"Inferiore a 500.000 €";"Compreso tra 250.000 € e 1.000.000 €";"GRUPPO MONDADORI";"GRUPPO F.I.L.A.";"GRUPPO TENACTA";"GRUPPO LANDI RENZO";"FONDAZIONE CONAD ETS";"Assistenza nella definizione del Piano di Sostenibilità, e relative attività di deployment, per Gruppo familiare con presenza multinazionale. 
Aggiornamento del Piano di Sostenibilità per Gruppo quotato con presenza
globale.";"Advisor con riconosciuta competenza in materia di sostenibilità e corporate governance, compliance e risk management, maturata sia come consulente che come amministratore indipendente e sindaco in realtà di piccole, medie e grandi dimensioni. Approccio concreto, volto a semplificare le complessità e vicino alla realtà dell'azienda. Autrice del libro “Sostenibilità per scettici - come integrare pratiche efficaci in azienda"" (2022). Dottore Commercialista e Revisore Legale.";;;"Voglio contribuire a fare del mondo un posto migliore, più trasparente ed equo, nel segno dell’inclusione, dando voce, fiducia, strumenti e forza a bambine, ragazze e donne e a chi, per qualsiasi motivo, si senta diverso.";"Non vi è rendicontazione sui fattori ESG";;;;;;;"Compliance";;;;;;;;;;;"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo23";"Topolino 23";"Via, Milano 23";;;"www.eticanews.it";"info@eticanews.it";"+39 123478";2023;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"Bcc Roma";"Gruppo Veritas";"Talent Garden";;;"Percorso strutturato su 22 direttori e coordinatori di filiale per diventare figure strategiche e testimonial di sostenibilità di Bcc Roma. Partenza dallo stato as-is della strategia di sostenibilità interna, co-progettazione di 4 nuovi modelli di business sostenibili e innovativi per creare impatto e valore per l'ecosistema della banca.";"Strumenti proprietari, metodologia e competenze per trasformare la sostenibilità in soluzioni concrete. Attraverso un approccio integrato e personalizzato unisce consulenza strategica e formazione ESG, utilizzando la metodologia del design thinking per rendere la sostenibilità un percorso collaborativo, motore di valore e vantaggio competitivo.";"2 a 10";"2 a 10";"Il nostro scopo è rendere la sostenibilità accessibile, concreta e strategica. Crediamo che ogni organizzazione possa diventare un motore di cambiamento positivo capace di affrontare le sfide esg, trasformandole in opportunità.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;;;;;;;;;;"Governance Esg";"HR & formazione";;;;;;;;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;"Progettazione modelli di business sostenibili e sviluppo Tool per la gestione qualitativa della sostenibilità interna"
"Pippo24";"Topolino 24";"Via, Milano 24";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123479";2023;;"Inferiore a 500.000 €";"Compreso tra 250.000 € e 1.000.000 €";;;;;;;"ESACUBE supporta le Imprese nella valutazione e misurazione degli obiettivi di sostenibilità, in percorsi e ottenimento di certificazione, riduzione dell’impatto ambientale, mitigazione dei rischi, comunicazione dei valori legati ai principi ESG e nell’adozione di un approccio ESG integrato, pratico e realistico.
Attraverso un team di professionisti multidisciplinari, e altamente qualificati, si propone di aiutare le aziende ad affrontare le sfide dettate dalle continue evoluzioni dei mercati.";"10 a 50";"2 a 10";"il nostro obiettivo  è garantire uno sviluppo delle Imprese, che sia sostenibile, resiliente e competitivo sul mercato, contribuendo alla costruzione di un sistema di crescita virtuoso e rispettoso del nostro Pianeta per noi e le generazioni future.";"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";;"Carbon footprint & neutrality";;"Comunicazione";;;;"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;"Third Party Opinion";"Waste management";;
"Pippo25";"Topolino 25";"Via, Milano 25";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123480";2024;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"Il nostro motto è ""La sostenibilità è un viaggio che vogliamo percorrere assieme a voi"" e per questo motivo personalizziamo al massimo la consulenza per ciascun cliente. La sostenibilità deve essere tarata sulle esigenze della singola impresa e ci affianchiamo all'imprenditore nel comprendere quali queste siano e come affrontarle.";"2 a 10";"2 a 10";"ESG Solution Srl SB nasce con l’obiettivo di offrire un supporto alle aziende del territorio nel percorso alla sostenibilità. ";"Le informazioni in materia di ESG sono contenute nel bilancio annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;;;"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";;"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;
"Pippo26";;"Via, Milano 26";;;"www.eticanews.it";"info@eticanews.it";"+39 123481";2013;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"Hydro";"CAMST";"Officine Maccaferri";"Mutti";"Fonderie Pandolfo";"Valutazione di sostenibilità ambientale, economica, sociale, di circolarità e di utilizzo di materie prime critiche dei prodotti intermedi di una multinazionale del settore costruzioni";"COMPETENZE SU METODI E STRUMENTI PER LA VALUTAZIONE DELL'ECONOMIA CIRCOLARE E DELLA SOSTENIBILITÀ
Valutazione degli impatti ambientali e sociali con un approccio scientifico del ciclo di vita
Interfaccia con le reti della ricerca e dell'innovazione e con i decisori pubblici nazionali ed europei
Definizione di percorsi di sostenibilità in linea con le tendenze nazionali, europee e internazionali
Promozione e valutazione di soluzioni circolari
VISIONE INTEGRATA E GLOBALE DELLA SOSTENIBILITA'";"10 a 50";"10 a 50";"Ecoinnovazione intende promuovere uno sviluppo economico e sociale equo, rispettoso dei diritti umani e degli equilibri ambientali, teso a costruire un mondo di pace e di accoglienza, con più diritti e democrazia, più giustizia sociale e ambientale";"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";;"Comunicazione";;;;;"Esg Data Management";;;;;"Life Cycle Assessment";"Procurement";;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;"Social Life Cycle Analysis; Ecodesign di prodotti e imballaggi"
"Pippo27";;"Via, Milano 27";;;"www.eticanews.it";"info@eticanews.it";"+39 123482";2002;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";;;;;;;"Aequilibria è una società italiana di consulenza e formazione ambientale, fondata nel 2002 da Daniele Pernigotti. Specializzata nel carbon management, opera a livello nazionale e internazionale, supportando le organizzazioni nella transizione verso un'economia a basse emissioni di carbonio.";"10 a 50";"2 a 10";"Il proposito aziendale di Aequilibria è supportare le organizzazioni nella transizione verso un'economia a basse emissioni di carbonio.
Il nostro motto è da sempre Prospettive sostenibili in evoluzione,";"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";"Asseverazione bilanci di sostenibilità";"Carbon footprint & neutrality";;"Comunicazione";;;;"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";"HR & formazione";;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";;"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;"Waste management";;
"Pippo28";;"Via, Milano 28";;;"www.eticanews.it";"info@eticanews.it";"+39 123483";2023;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"siamo un hub di servizi e di professionalità per la sostenibilità. siamo in grado di coprire tutte le esigenze dalla strategia alla reportistica alla compliance etc. la logica delle partnersgip è inclusiva e non esclusiva. molti dei partner coniugano la sostenbilità con l'innovazione digitale e l'uso integrato dell'A.I.";;;"Cerchiamo e offriamo le migliori soluzioni per rendere sempre più sostenibili le organizzazioni e le imprese";"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";;"Carbon footprint & neutrality";;"Comunicazione";;;"Compliance";;;;;;;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo29";;"Via, Milano 29";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123484";1994;2014;"Compreso tra 2.000.000 € e 5.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"AST - Acciaierie Speciali Terni";"Corepla";"AMA - Azienda Municipale Ambiente (Roma)";"Belvedere SpA";"SOS Villaggi dei Bambini";"Campagna di comunicazione Corepla";"Eprcomunicazione esprime partner con una lunga e prestigiosa esperienza nei campi della tutela e della valorizzazione dell'ambiente, nonché negli impatti sociali, delle attività d'impresa. La società è socio fondatore della Fondazione per lo Sviluppo Sostenibile, è socio di AIS - Ass. Infrastrutture Sostenibili ed è stata la prima società di consulenza in comunicazione ESG certificate B-Corp a essere quotata sul listino EGM.";"10 a 50";"2 a 10";"Vogliamo fornire soluzioni efficaci di comunicazione integrata con i più alti standard qualitativi e alle migliori condizioni. Ci impegniamo per un futuro sostenibile e per migliorare il benessere sociale, economico e ambientale della comunità.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";;"HR & formazione";;"Life Cycle Assessment";;;;"Rendicontazione & reporting";;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;"Co-promotori Circonomia - Festival dell'Economia Circolare"
"Pippo30";;"Via, Milano 30";;;"www.eticanews.it";"info@eticanews.it";"+39 123485";2001;;"Inferiore a 500.000 €";"Compreso tra 250.000 € e 1.000.000 €";;;;;;;"Assessment ESG con mix di strumenti di engagement interno
Design strategie ESG
Supporto per piani di azioni mirati ESG
Stakeholder Engagement e costruzione di partnership su azioni ESG";;;"
Contribuire a trovare soluzioni innovative per una società e un’economia sostenibile, aperta, innovativa, orientata a migliorare la qualità della vita delle persone e del pianeta.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";"Certificazione/asseverazione";;;"Consulenza su società benefit";;"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";"HR & formazione";;"Life Cycle Assessment";"Procurement";;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo31";;"Via, Milano 31";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123486";2009;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 1.000.000 € e 2.500.000 €";"SYENSQO (Solvay)";"Fondazione Compagnia di San Paolo";"Carrefour Italia";"Randstad Italia";"Acquedotto Pugliese";"Fabbriche Aperte Lab 2024-2025. Syensqo ha co-progettato insieme ad Amapola un nuovo ciclo di incontri tematici rivolto alla comunità locale e dedicato ai temi della responsabilità sociale e dello sviluppo sostenibile. Le porte dello stabilimento chimico si sono così riaperte agli stakeholder del territorio, cittadini e studenti. ";"Cultura della sostenibilità, approccio consulenziale e esperienza nella comunicazione sono gli elementi che mettiamo a disposizione di imprese e organizzazioni per affrontare insieme le sfide della sostenibilità. Il nostro metodo in 4 passi è progetta, condividi, misura, comunica. Inoltre, siamo una Società Benefit e conosciamo in maniera diretta le sfide di un business che intende generare impatto positivo. ";"10 a 50";"10 a 50";"Facciamo vivere la sostenibilità";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;;;"Comunicazione";;"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";"HR & formazione";;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;"Assessment ESG, Analisi socioambientale"
"Pippo32";"Topolino 32";"Via, Milano 32";;;"www.eticanews.it";"info@eticanews.it";"+39 123487";2015;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"AUTOSPED G";"GETEC ITALIA";"GENERALI REAL ESTATE";"MICRON";"ELBI INTERNATIONAL";"SIAMO ENERGY MANAGER ESTERNI DI GRUPPO AUTOSPED. SEGUIAMO TUTTE LE IMPRESE DEL GRUPPO PER QUANTO RIGUARDA L'EFFICIENTAMENTO DEI LORO AUTOMEZZI E SEDI(CON IMPORTANTI INVESTIMENTI) E IL CALCOLO GHG CHE VIENE INSERITO NEI BILANCI DI SOSTENIBILITà CHE COSTRUIAMO CON UNA SOCIETA' IN RETE DI IMPRESA CON NOI.";"SIAMO MOLTO TRASVERSALI NELLA CONSULENZA, NON ABBIAMO UN SETTORE O UNA TECNOLOGIA DI RIFERIMENTO. CI GUIDA LA FORTE SPINTA INGEGNERISTICA E SIAMO IN GRADO DI OFFRIRE UNA VISIONE DALL'ALTO PER I NOSTRI CLIENTI ANDANDO DI FATTO A CREARE DEI PIANI DI DECARBONIZZAZIONE COMPLETI DI TUTTO, COMPRESA LA PARTE FINANZIARIA";"2 a 10";"2 a 10";"La nostra società nasce con una missione precisa: accompagnare i clienti lungo il percorso della transizione energetica, integrando innovazione tecnologica, efficienza operativa e sostenibilità ambientale.";"Le informazioni in materia di ESG sono contenute nel bilancio annuale dell’azienda";;"Carbon footprint & neutrality";"Certificazione/asseverazione";;"Consulenza Finanziaria";;;"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";;"HR & formazione";;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";;;;;;"CREAIMO E GESTIAMO UNA FILIERA COMPLETA PER I NOSTRI CLIENTI DALLA DIAGNOSI ENERGETICA ALLO SVILUPPO DEI PROGETTI REPERENDO ANCHE DENARO TRAMITE FTT O BANDI"
"Pippo33";"Topolino 33";"Via, Milano 33";;;"www.eticanews.it";"info@eticanews.it";"+39 123488";2020;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"Consulenza calibrata su misura del cliente con attività e servizi personalizzati alla singola realtà e alle singole esigenze dell'organizzazione e del contesto in cui opera";"2 a 10";"2 a 10";"Offrire servizi di consulenza avanzata alle imprese, agli Enti e alle Organizzazioni in materia di Sostenibilità ed Ambiente al fine di contribuire alla costruzione di un futuro sostenibile";"Le informazioni in materia di ESG sono contenute nel bilancio annuale dell’azienda";;;;;;"Consulenza su società benefit";"Compliance";;;;;"HR & formazione";;;;;;"Rendicontazione & reporting";;;;;;;;"Waste management";;"Consulenza e Progettazione Sistemi di Gestione"
"Pippo34";"Topolino 34";"Via, Milano 34";;;"www.eticanews.it";"info@eticanews.it";"+39 123489";2003;2016;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"Digital Innovation Hub";"Confindustria";"European Commission";;;"Certificazione di sostenibilità in vista delle Olimpiadi invernali 2026 Milano Cortina";"Grande conoscenza e applicazione ESG unita all'esperienza imprenditoriale e di management";;;"Portare le aziende e organizzazioni verso l'economia circolare";"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";;"Carbon footprint & neutrality";"Certificazione/asseverazione";"Comunicazione";"Consulenza Finanziaria";"Consulenza su società benefit";;"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";"Procurement";;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;"Third Party Opinion";"Waste management";"Water management";"Certificazioni ESG"
"Pippo35";;"Via, Milano 35";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123490";2013;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"HILTI";"PEDRALI";"AUTOTORINO";"MFL GROUP";"GEOX";;"2A GROUP rappresenta oggi una realtà strategica nel panorama nazionale delle società di consulenza e ingegneria. Possiede competenze multidisciplinari in grado di analizzare situazioni complesse, un metodo di lavoro serio e consolidato, una pluriennale esperienza nella ricerca di soluzioni gestionali per rispondere in maniera rapida, efficace e innovativa a tutte le necessità dei propri clienti in materia di sostenibilità e ambiente, salute e sicurezza, energia, formazione, sistemi di gestione";"10 a 50";"10 a 50";"Portare miglioramento e creare consapevolezza nelle persone e nelle organizzazioni";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;"Consulenza su società benefit";;"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";;;"Life Cycle Assessment";"Procurement";;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;"Waste management";"Water management";"Mobility Management"
"Pippo36";;"Via, Milano 36";;;"www.eticanews.it";"info@eticanews.it";"+39 123491";2001;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"Costa D'Oro";"Nexi";"Molino Vigevano";"Walcor";"Caffé Borbone";"Sustenia ha affiancato e supportato Costa d’Oro Olio nel processo di definizione della strategia di sviluppo sostenibile, nella creazione del Manifesto degli Intenti, nella creazione della Planet O-live Academy. Il processo è in divenire e ogni giorno si valutano risultati e si studiano attività coerenti agli obiettivi ESG.";"Attraverso un approccio sartoriale, costruito sull’ascolto attento e sull’analisi approfondita dei contesti, accompagniamo i nostri clienti nella definizione e realizzazione di strategie di business orientate alla sostenibilità, all’innovazione e alla creazione di valore condiviso.
Lo stesso approccio viene seguito per la creazione di progetti di marketing sostenibile.";"2 a 10";"2 a 10";"Sustenia nasce per integrare la sostenibilità nei processi decisionali e strategici delle imprese, contribuendo alla creazione di valore economico, ambientale e sociale.
Attraverso un approccio consulenziale personalizzato e basato su modelli consoli";"Non vi è rendicontazione sui fattori ESG";;;;"Comunicazione";;;;;;;;;;;;;;;;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;"Marketing sostenibile; Turismo sostenibile; Accompagnamento bilanci e report di sostenibilità"
"Pippo37";;"Via, Milano 37";;;"www.eticanews.it";"info@eticanews.it";"+39 123492";2018;2020;"Compreso tra 500.000 € e 2.000.000 €";"Inferiore a 250.000 €";;;;;;;"Approccio strategico in termini di pianificazione di medio lungo termine con un attenzione particolare alla componente "" Governance"" delle Aziende. ";;;;"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";;;;;;"Consulenza su società benefit";"Compliance";;;;"Governance Esg";;"Investor relation";;;"Rating di sostenibilità e Esg (emissione)";;"Rendicontazione & reporting";;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo38";;"Via, Milano 38";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123493";1957;2018;"Compreso tra 2.000.000 € e 5.000.000 €";"Inferiore a 250.000 €";;;;;;;"Lo Studio Cravero & Associati opera professionalmente nella consulenza aziendale fiscale, contabile e societaria, con un focus particolare sulla sostenibilità e sugli adempimenti ESG. In particolare, lo studio si focalizza nell'affiancare le PMI nell'adozione di corretti principi di corporate governance. Questi principi includono la separazione dei ruoli di gestione e controllo, la trasparenza nelle decisioni aziendali, e l'adozione di pratiche sostenibili.";"10 a 50";"2 a 10";;"Le informazioni in materia di ESG sono contenute nel bilancio annuale dell’azienda";;;;;;"Consulenza su società benefit";"Compliance";;;;"Governance Esg";;;;;;;"Rendicontazione & reporting";;;;;;;;;;
"Pippo39";;"Via, Milano 39";;;"www.eticanews.it";"info@eticanews.it";"+39 123494";2008;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"ITALGRANITI SpA";"CIMAS soc Benefit";"STIPA SpA";"CERAMICHE DEL CONCA";"ALPI SpA";"estensione delle certificazioni presenti (ISO 9001-22000-22002-45001-14001- Reg.EMAS) a certificazioni ETICHE (SA8000 + UNI PdR 125), a certificazione anticorruzione (ISO 37001) e avvio di MOG231 e di certificazione impronta di carbonio di organizzazione (ISO 14064-1) - Cliente: CIMAS soc Benefit ";"-Il titolare è un Verificatore EMAS accreditato come persona fisica;
-la società include persone dipendente laureato in ambito scientifico-ambientale, con il 60% di 110 lode;
-i collaboratori esterni sono ingegneri e avvocati di alto livello e affiatati al team Esalex, per i tanti anni di collaborazione e condivisione dei progetti.";;;"ESALEX significa applicare i concetti di EFFICACIA e di SOSTENIBILITA' nelle organizzazioni e per attuare con il massimo rigore il rispetto delle LEGGI AMBIENTALI applicabili.";"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";;;;"Consulenza su società benefit";"Compliance";;"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";;;;"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;"prodotto: EPD, FDES, PEF - organizzazione: MOG231"
"Pippo40";;"Via, Milano 40";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123495";2017;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"protocollo proprietario ""Metodo Semplice"" che si basa sulle tre direttrici , strategia, comunicazione e relazione dalla cui interconnessione emerge il cambiamento/miglioramento atteso attraverso la formazione trasformativa.";"2 a 10";"2 a 10";"aiutiamo le aziende a sbloccare il loro valore inespresso e a migliorare il rapporto tra le persone e con l'ambiente per aumentare il loro impatto positivo e comunicarlo in modo coerente";"Non vi è rendicontazione sui fattori ESG";;;;"Comunicazione";"Consulenza Finanziaria";"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";"HR & formazione";"Investor relation";"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;"Third Party Opinion";;;
"Pippo41";;"Via, Milano 41";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123496";2012;2018;"Compreso tra 2.000.000 € e 5.000.000 €";"Inferiore a 250.000 €";"Fiere di Parma";"ICAM Cioccolato";"CAMP";"Fendi";"B&C Speakers";"Assessment ESG e sviluppo della prima strategia ESG di Fiere di Parma, da implementare nel 2025 e 2026";"sinergie con i team di comunicazione e digital per offrire servizi intgrati, Approccio tailor made e customizzato,  team competente e preparato";;;"Un'agenzia di comunicazione fatta di idee, progetti e persone che ogni giorno sperimentano soluzioni creative per portare valore ai nostri clienti. Trasformiamo le sfide più ambiziose in opportunità, raggiungendo i risultati con passione e creatività";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;"Consulenza su società benefit";;"Diversity & Inclusion policy";"Esg Data Management";;"Governance Esg";"HR & formazione";;;;;;"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;
"Pippo42";;"Via, Milano 42";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123497";2023;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"Tecnosystemi Spa";"Valvitalia Spa";"Som Spa";"Cepparo Spa e Latte Carso Spa";"Eurolls Spa";"Nuova strategia di posizionamento attraverso l'utilizzo di EPD su diverse gamme di prodotto e contestuale riorganizzazione/formazione delle funzioni interne per la gestione delle attività in chiave ESG";"Soin Company realizza attività di consulenza strategica, in cui le dinamiche ESG diventano un fattore di accelerazione della transizione. La gestione dei processi di riorganizzazione delle funzioni aziendali è parte integrante dei progetti realizzati  e le competenze trasversali dei consulenti di Soin Company sono indispensabili per gestire cambiamenti profondi nei sistemi di pianificazione e controllo delle attività dei clienti";"2 a 10";"2 a 10";"Il nostro compito è quello di costruire prima una consapevolezza e poi delle azioni concrete intorno ai temi dell’ecosostenibilità.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";"Asseverazione bilanci di sostenibilità";"Carbon footprint & neutrality";;"Comunicazione";;"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";;"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";"Procurement";"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;;;"Social Impact Assessment, Sustainability Benchmark, CBAM, EUDR, EPD"
